horizon_days,response_variable,shock_variable,proportion
10,fed_funds_rate,yield_spread_10y_2y,0.0021485116570535696
10,fed_funds_rate,overnight_rate,0.07851027771882677
10,fed_funds_rate,us_treasury_10y,0.006187054288452192
10,fed_funds_rate,fed_funds_rate,0.9115397169776577
10,fed_funds_rate,cpi_yoy,0.0012409654898475344
10,fed_funds_rate,usdcad,0.0003734738681623754
10,cpi_yoy,yield_spread_10y_2y,0.0009671931403955713
10,cpi_yoy,overnight_rate,0.0015178391010413413
10,cpi_yoy,us_treasury_10y,0.0005839203775886267
10,cpi_yoy,fed_funds_rate,0.0032588529378185663
10,cpi_yoy,cpi_yoy,0.9928313257123131
10,cpi_yoy,usdcad,0.0008408687308427545
10,usdcad,yield_spread_10y_2y,0.0038727650452991843
10,usdcad,overnight_rate,0.022133347865836605
10,usdcad,us_treasury_10y,0.0042712696523898855
10,usdcad,fed_funds_rate,0.004133076047440729
10,usdcad,cpi_yoy,0.003207644664417934
10,usdcad,usdcad,0.9623818967246156
11,yield_spread_10y_2y,yield_spread_10y_2y,0.99346022758459
11,yield_spread_10y_2y,overnight_rate,0.002437764291573389
11,yield_spread_10y_2y,us_treasury_10y,0.0017068097752625812
11,yield_spread_10y_2y,fed_funds_rate,0.0010273614374655116
11,yield_spread_10y_2y,cpi_yoy,0.00021539772997877503
11,yield_spread_10y_2y,usdcad,0.0011524391811299978
11,overnight_rate,yield_spread_10y_2y,0.016931677372422405
11,overnight_rate,overnight_rate,0.9600315562395859
11,overnight_rate,us_treasury_10y,0.010286761164162902
11,overnight_rate,fed_funds_rate,0.003880479617957888
11,overnight_rate,cpi_yoy,0.0002860203174827416
11,overnight_rate,usdcad,0.00858350528838812
11,us_treasury_10y,yield_spread_10y_2y,0.15989413877472977
11,us_treasury_10y,overnight_rate,0.007432103227410249
11,us_treasury_10y,us_treasury_10y,0.8316828615772149
11,us_treasury_10y,fed_funds_rate,0.00038882694105875826
11,us_treasury_10y,cpi_yoy,0.0002968354927027699
11,us_treasury_10y,usdcad,0.00030523398688353406
11,fed_funds_rate,yield_spread_10y_2y,0.0025414422940388875
11,fed_funds_rate,overnight_rate,0.10458270693288875
11,fed_funds_rate,us_treasury_10y,0.006874678557130812
11,fed_funds_rate,fed_funds_rate,0.8843145335015863
11,fed_funds_rate,cpi_yoy,0.001348941950197351
11,fed_funds_rate,usdcad,0.0003376967641577844
11,cpi_yoy,yield_spread_10y_2y,0.0008904049139430296
11,cpi_yoy,overnight_rate,0.001566481988117703
11,cpi_yoy,us_treasury_10y,0.0008211872805736287
11,cpi_yoy,fed_funds_rate,0.003414901355235584
11,cpi_yoy,cpi_yoy,0.9923316293108503
11,cpi_yoy,usdcad,0.0009753951512797569
11,usdcad,yield_spread_10y_2y,0.0038724533742443105
11,usdcad,overnight_rate,0.023224008482705453
11,usdcad,us_treasury_10y,0.003945318309436454
11,usdcad,fed_funds_rate,0.0050728842507355085
11,usdcad,cpi_yoy,0.003446661914196606
11,usdcad,usdcad,0.9604386736686816
12,yield_spread_10y_2y,yield_spread_10y_2y,0.9931611440290096
12,yield_spread_10y_2y,overnight_rate,0.002686466610979579
12,yield_spread_10y_2y,us_treasury_10y,0.0015898234560601419
12,yield_spread_10y_2y,fed_funds_rate,0.0011350885098614493
12,yield_spread_10y_2y,cpi_yoy,0.0002446605997564407
12,yield_spread_10y_2y,usdcad,0.0011828167943329056
12,overnight_rate,yield_spread_10y_2y,0.018703526847731446
12,overnight_rate,overnight_rate,0.9559681862629269
12,overnight_rate,us_treasury_10y,0.011639396279278982
12,overnight_rate,fed_funds_rate,0.0037488436885072833
